[Thu Feb 27 02:24:13.854897 2020] [php7:warn] [pid 12041] [client 192.168.20.16:62519] PHP Warning:  getimagesize(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 41, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:13.854932 2020] [php7:warn] [pid 12041] [client 192.168.20.16:62519] PHP Warning:  file_get_contents(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:13.854969 2020] [php7:warn] [pid 12041] [client 192.168.20.16:62519] PHP Warning:  imagecreatefromstring(): Empty string or invalid image in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:13.854988 2020] [php7:warn] [pid 12041] [client 192.168.20.16:62519] PHP Warning:  imagecrop() expects parameter 1 to be resource, boolean given in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:13.855003 2020] [php7:warn] [pid 12041] [client 192.168.20.16:62519] PHP Warning:  imagepng() expects parameter 1 to be resource, null given in /home/bnhfijvh-m2/upload.php on line 48, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815120 2020] [php7:notice] [pid 12045] [client 192.168.20.16:62521] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815807 2020] [php7:notice] [pid 12045] [client 192.168.20.16:62521] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815835 2020] [php7:notice] [pid 12045] [client 192.168.20.16:62521] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815911 2020] [php7:warn] [pid 12045] [client 192.168.20.16:62521] PHP Warning:  getimagesize(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 41, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815936 2020] [php7:warn] [pid 12045] [client 192.168.20.16:62521] PHP Warning:  file_get_contents(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815963 2020] [php7:warn] [pid 12045] [client 192.168.20.16:62521] PHP Warning:  imagecreatefromstring(): Empty string or invalid image in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815976 2020] [php7:warn] [pid 12045] [client 192.168.20.16:62521] PHP Warning:  imagecrop() expects parameter 1 to be resource, boolean given in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:36.815986 2020] [php7:warn] [pid 12045] [client 192.168.20.16:62521] PHP Warning:  imagepng() expects parameter 1 to be resource, null given in /home/bnhfijvh-m2/upload.php on line 48, referer: http://bnhfijvh-m2.wsr.ru/upload.php
